"royalty_distirbution"	"uuid_work"	"income_type"	"licensee"	"additional_information"	"period"	"accounting_split"	"contract_distribution_base"	"statement_currency"	"distribution_currency"	"received_royalty"	"payable_royalty"	"royalty_share"	"shareholder_amount"
"Budde UK 2021/H2"	"33e5f14e-3188-73a4-8991-ac5e89e3174b"	"other"	"Peloton Interactive"		"[2020-03-01,2021-03-01)"	0.65	"at-source"	"EUR"	"GBP"	24.6	20.91	0.5	15.99
"Budde UK 2021/H2"	"ab5946c1-1b6c-00b5-2836-d6a63dc060c1"	"performance"	"UK Background Music Systems (Imagesound) ¿ HSBC Bank PLC"		"[2021-03-31,2021-04-01)"	0.75	"at-source"	"GBP"	"GBP"	8.84	8.84	0.25	6.63
"Budde UK 2021/H2"	"33e5f14e-3188-73a4-8991-ac5e89e3174b"	"synch"	"KESHET 12"	"EREV TOV IM GUY PINES KESHET - EREV TOV IM GUY PINES KESHET"	"[2018-01-01,2019-01-01)"	0.65	"at-source"	"EUR"	"GBP"	8.95	7.61	0.5	5.8175
"Budde UK 2021/H2"	"2cd0b0f5-317d-e97f-ea95-cc4f5a858bd1"	"mechanical"	"ITUNES/APPLE MUSIC"	"OD AU-Itunes Store"	"[2021-01-01,2021-04-01)"	0.75	"at-source"	"AUD"	"GBP"	14.37915744379868925441777444	12.9412414987016198838171	0.5	10.78436808284901694081333083
"Budde UK 2021/H2"	"ab5946c1-1b6c-00b5-2836-d6a63dc060c1"	"mechanical"	"Channel 4 (IPC) United Kingdom"	"Come Dine With Me Daytime 13"	"[2021-02-02,2021-02-03)"	0.75	"at-source"	"GBP"	"GBP"	28.84	28.84	0.5	21.63
"Budde UK 2021/H2"	"c0eaa7c1-b8f8-6f15-0490-8c82a341153b"	"performance"	"TV - Cable (A)"	"CATFISH THE TV SHOW - HUNDRA AND AMP EMILY"	"[2020-10-01,2021-12-01)"	0.75	"at-source"	"EUR"	"GBP"	7.71	6.55	0.25	5.7825
"Budde UK 2021/H2"	"ab5946c1-1b6c-00b5-2836-d6a63dc060c1"	"performance"	"BBC1 Network Non Peak"	"Bargain Hunt"	"[2021-04-11,2021-04-12)"	0.75	"at-source"	"GBP"	"GBP"	7.41	7.41	0.25	5.5575
"Budde UK 2021/H2"	"2cd0b0f5-317d-e97f-ea95-cc4f5a858bd1"	"performance"	"Alliance Spotify Germany Limited Download / On Demand Streaming Service Single"		"[2020-12-01,2021-01-01)"	0.75	"at-source"	"GBP"	"GBP"	5.1931	5.1931	0.25	3.894825
"Budde UK 2021/H2"	"ab5946c1-1b6c-00b5-2836-d6a63dc060c1"	"mechanical"	"Channel 4 (IPC) United Kingdom"	"Come Dine With Me Daytime 13"	"[2021-02-02,2021-02-03)"	0.75	"at-source"	"GBP"	"GBP"	28.84	28.84	0.5	21.63
"Budde UK 2021/H2"	"33e5f14e-3188-73a4-8991-ac5e89e3174b"	"performance"	"TV - Cable (A)"	"CATFISH THE TV SHOW - HAROLD AND AMP ARMANI"	"[2020-07-01,2021-09-01)"	0.75	"at-source"	"EUR"	"GBP"	6.4	5.44	0.25	4.8
