artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,time_signature
David Bowie,Space Oddity - 2015 Remaster,73,0.31,0.403,,-13.664,1,0.0326,0.0726,0.0000927,0.139,0.466,134.48,318.027,4
Crimson Sun,Essence of Creation,34,0.511,0.955,1,-5.059,1,0.129,0.0004,0.0000087,0.263,0.291,151.937,220.413,4
P!nk,Raise Your Glass,78,0.7,0.709,7,-5.006,1,0.0839,0.0048,,0.0289,0.625,122.019,202.96,4
Shawn Mendes,Wonder,80,0.333,0.637,1,-4.904,0,0.0581,0.131,0.000018,0.149,0.132,139.898,172.693,4
Backstreet Boys,Helpless When She Smiles - Radio Version,48,0.393,0.849,11,-4.114,1,0.0459,0.00421,,0.162,0.222,74.028,0.004093116667,4
Paul McCartney,Pretty Boys (feat. Khruangbin),56,0.696,0.979,11,-5.338,0,0.0445,0.00244,0.768,0.116,0.962,101.021,348.859,4
The Flaming Lips,She Don't Use Jelly,60,0.33,0.556,7,-11.494,1,0.0796,0.207,0.0000439,0.315,0.506,173.828,222.279,4
The Vanities,Wasted All My Days,23,0.43,0.942,10,-3.008,1,0.0913,0.000166,0.0000191,0.103,0.557,91.483,140.4,4
pizzagirl,car freshener aftershave,36,0.603,0.724,7,-6.843,1,0.0265,0.00135,0.0000102,0.184,0.387,129.984,243.868,4
Jane's Addiction,Been Caught Stealing,57,0.639,0.929,,-4.762,1,0.212,0.00326,0.0501,0.242,0.688,103.758,214.707,4
The Mönic,Just Mad,29,0.324,0.798,2,-8.417,1,0.031,0.0518,0.00000582,0.256,0.534,168.132,172.217,4
The Shins,Phantom Limb,57,0.515,0.848,9,-4.835,1,0.0375,0.000486,,0.0946,0.475,119.84,287.567,4
Nyck Caution,Bad Day (feat. Denzel Curry),49,0.749,0.783,1,-3.965,1,0.3,0.142,,0.237,0.73,140.012,154.947,4
Foo Fighters,Shame Shame,62,0.652,0.864,7,-4.108,1,0.0325,0.00138,0.0433,0.0371,0.38,122.026,257.427,4
FEVER 333,BITE BACK,50,0.545,0.998,8,-3.645,1,0.234,0.0192,,0.877,0.142,129.992,190.657,4
Tora Tora,Blue Tommorrow,20,0.626,0.609,4,-12.226,0,0.0371,0.00803,0.0000192,0.108,0.346,123.681,260.12,4
