"uuid_work"	"primary_title"
"17546bc5-c143-3e50-7b7b-087e2a01f494"	"BAD NEWS"
"2cd0b0f5-317d-e97f-ea95-cc4f5a858bd1"	"WHERE IT STAYS"
"32802fd7-3359-fc95-8bc4-4ab868872a9b"	"SYMPHON"
"33e5f14e-3188-73a4-8991-ac5e89e3174b"	"COLOUR MY HEART"
"36590327-0d80-a16f-6a25-b56b2d3681ee"	"SATELLIT"
"3e7c3cb8-17bf-2205-f15a-21245312b768"	"HIGHER"
"4147532a-f528-2d08-02de-a9f7a876b839"	"BLUE EYES FOREVER"
"43ba9d7d-df39-b924-6737-b191713d0b3f"	"BLACK OU"
"54703876-0c97-6acd-a0e4-72d439584756"	"RUNNING BACK TO YOU"
"5f7f4dc0-292a-203f-3911-7b1d2bc68e5f"	"CENTRE OF THE UNIVERSE"
"80a826c5-b324-dc69-ae19-8ae5ce28150e"	"FREEDO"
"a183a1ca-a77e-9452-a84f-ee0a5a578b51"	"SYMPHONY"
"a8647541-9d3c-428c-b9ac-7800a157de7c"	"EVERYTHING I WANTED FEAT. CHARLOTTE OC"
"aaf98c7c-1145-b783-9d45-2199566e33e4"	"DARKEST HOU"
"ab5946c1-1b6c-00b5-2836-d6a63dc060c1"	"SWEET NOTHING"
"b0f63140-d719-d903-c0a6-46563f48fc7d"	"FALLING FOR YOU"
"c0eaa7c1-b8f8-6f15-0490-8c82a341153b"	"CUT THE ROPE"
"e01c891f-1bc3-f26b-9453-3ec67781939a"	"THIS PAI"
"eb848751-333c-df3a-f734-4d7355f634de"	"BETTER OFF ON MY OWN"
"fecb9152-8934-ba16-3aab-9b83b7cae698"	"STRANG"
"055fb975-6ee2-134e-2d32-ad3897a4f95e"	"EXIST FOR LOVE"
"05998feb-7582-d70f-5077-75b990217221"	"CONNECTING WITH THE LAMA"
"05cabf56-6e6e-a710-ee3d-d31197db4c5a"	"LOCOMOTION"
"05d9bb81-9d52-6957-924f-a9d40c817f99"	"MU DAN CHIM IB"
"063c712b-cd9d-c102-9ec9-fd76c990b6ef"	"A WALKING CONTRADICTION"
"066c6eb2-f613-662c-77da-9c06b1c0c6c4"	"MIA SMYRNIA STO PARATHIRI"
"0688a1f4-6123-e936-75bd-92066650d92b"	"FALLEN FLOWER"
"069d0fb9-0898-2bbd-df49-e1387e495bcf"	"OVERSTAY"
"06b4f239-9096-ccbc-2d19-f834d0c47436"	"CAN'T KEEP FALLING"
"06c0bd28-f8b5-a062-65cb-c565b666c73c"	"GOLD"
"06dc0204-791c-6da6-027a-f755da29bb82"	"ROAD TO PARADISE"
"077f39d2-97c6-10c8-02b3-a67136ba3feb"	"SHADOWS IN THE SUN"
"07bc705e-e471-ce8e-489c-a8c0d06a4113"	"IN YOUR PHONE"
"07c21328-71cb-7991-c201-bb4ef7c3818a"	"LEO"
"082ecdab-0790-940c-0d7f-da04b05b4757"	"WHAT I TRY"
"0845f48a-56ec-e65d-8281-0137c38d40c0"	"KARMA"
